t_index         term            df
1212            allan           1
1213            alleg           72
1214            allegedli       23
1215            allegi          1
1216            allen           22
1217            allentown       1
1218            alley           2
1219            alleyway        3
1220            allfranc        1
1221            allfrench       2
1222            alli            86
1223            allianc         10
1224            allimport       1
1225            alliz           1
1226            allnight        2
1227            allot           1
1228            allow           133
1229            allparti        1
1230            allstar         1
1231            alltim          1
1232            allud           2
1233            allus           5
1234            allwilliam      1
1235            alma            1
1236            almagor         1
1237            almasri         2
1238            almegrahi       1
1239            almidhar        2
1240            almihdar        3
1241            almost          118
1242            almuhajiroun    3
1243            almusawah       3
1244            alnaderi        2
1245            alnahdi         1
1246            alnizali        1
1247            alomeri         1
1248            alon            39
1249            along           118
1250            alongsid        39
1251            alou            1
1252            alowhali        2
1253            alpha           2
1254            alphabet        3
1255            alpin           1
1256            alqadhi         2
1257            alqaeda         1
1258            alqaida         3
1259            alreadi         164
1260            alribat         1
1261            alshahrani      3
1262            alsharia        1
1263            alsharjani      1
1264            alsharq         1
1265            alshueib        1
1266            also            477
1267            alter           8
1268            altern          20
1269            although        83
1270            altitud         1
1271            altogeth        4
1272            aluminum        2
1273            alun            6
1274            alwadi          1
1275            alway           93
1276            alzawahri       2
1277            alzindani       1
